Created By;Host ID;Host Name;Host MAC;Host Desc;Image Name;Image Path;Start Date;Start Time;End Date;End Time;Duration;Deploy/Capture;Tempo
fog;19;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 17, 2024, 9:57 am;DebRodrigo;Not Valid;22/01/2024;07:40:09;22/01/2024;07:42:26;2 minutes 17 seconds;Deploy;00:02:17
fog;20;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 17, 2024, 10:01 am;DebRodrigo;Not Valid;22/01/2024;07:40:09;22/01/2024;07:42:25;2 minutes 16 seconds;Deploy;00:02:16
fog;21;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 17, 2024, 10:01 am;DebRodrigo;Not Valid;22/01/2024;07:40:10;22/01/2024;07:42:23;2 minutes 13 seconds;Deploy;00:02:13
fog;22;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 17, 2024, 10:02 am;DebRodrigo;Not Valid;22/01/2024;07:40:11;22/01/2024;07:42:29;2 minutes 18 seconds;Deploy;00:02:18
fog;23;a45d362abd9d;a4:5d:36:2a:bd:9d;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;07:40:06;22/01/2024;07:42:00;1 minute 54 seconds;Deploy;00:01:54
fog;24;fc15b4d90f77;fc:15:b4:d9:0f:77;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;07:40:10;22/01/2024;07:42:28;2 minutes 18 seconds;Deploy;00:02:18
fog;25;a45d362aed83;a4:5d:36:2a:ed:83;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;07:40:08;22/01/2024;07:42:08;2 minutes ;Deploy;00:02:00
fog;26;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 17, 2024, 10:03 am;DebRodrigo;Not Valid;22/01/2024;07:40:09;22/01/2024;07:42:25;2 minutes 16 seconds;Deploy;00:02:16
fog;27;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 17, 2024, 10:04 am;DebRodrigo;Not Valid;22/01/2024;07:40:10;22/01/2024;07:42:29;2 minutes 19 seconds;Deploy;00:02:19
fog;28;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 17, 2024, 10:04 am;DebRodrigo;Not Valid;22/01/2024;07:40:09;22/01/2024;07:42:24;2 minutes 15 seconds;Deploy;00:02:15
fog;29;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 17, 2024, 10:04 am;DebRodrigo;Not Valid;22/01/2024;07:40:11;22/01/2024;07:42:22;2 minutes 11 seconds;Deploy;00:02:11
fog;30;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 17, 2024, 10:05 am;DebRodrigo;Not Valid;22/01/2024;07:40:03;22/01/2024;07:41:42;1 minute 39 seconds;Deploy;00:01:39
fog;31;a45d362abd2b;a4:5d:36:2a:bd:2b;Created by FOG Reg on January 17, 2024, 10:05 am;DebRodrigo;Not Valid;22/01/2024;07:40:13;22/01/2024;07:42:34;2 minutes 21 seconds;Deploy;00:02:21
fog;32;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 17, 2024, 10:05 am;DebRodrigo;Not Valid;22/01/2024;07:40:10;22/01/2024;07:42:16;2 minutes 6 seconds;Deploy;00:02:06
fog;19;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 17, 2024, 9:57 am;DebRodrigo;Not Valid;22/01/2024;07:44:03;22/01/2024;07:46:20;2 minutes 17 seconds;Deploy;00:02:17
fog;20;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 17, 2024, 10:01 am;DebRodrigo;Not Valid;22/01/2024;07:43:59;22/01/2024;07:45:57;1 minute 58 seconds;Deploy;00:01:58
