Nome da Origem;Created By;Host ID;Host Name;Host MAC;Host Desc;Image Name;Image Path;Start Date;Start Time;End Date;End Time;Duration;Deploy/Capture;Tempo
10.CSV;fog;11;a45d362a9143;a4:5d:36:2a:91:43;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;07:49:35;17/01/2024;07:52:32;2 minutes 57 seconds;Deploy;00:02:06
10.CSV;fog;12;a45d362ada99;a4:5d:36:2a:da:99;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;07:49:38;17/01/2024;07:52:31;2 minutes 53 seconds;Deploy;00:02:05
10.CSV;fog;13;a45d362aad1b;a4:5d:36:2a:ad:1b;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;07:49:38;17/01/2024;07:52:32;2 minutes 54 seconds;Deploy;00:02:06
10.CSV;fog;14;a45d362abd32;a4:5d:36:2a:bd:32;Created by FOG Reg on January 11, 2024, 11:20 am;DebRodrigo;Not Valid;17/01/2024;07:49:30;17/01/2024;07:52:33;3 minutes 3 seconds;Deploy;00:02:07
10.CSV;fog;16;a45d362a9df5;a4:5d:36:2a:9d:f5;Created by FOG Reg on January 11, 2024, 11:23 am;DebRodrigo;Not Valid;17/01/2024;07:49:37;17/01/2024;07:52:31;2 minutes 54 seconds;Deploy;00:02:05
10.CSV;fog;18;a45d362aadca;a4:5d:36:2a:ad:ca;Created by FOG Reg on January 12, 2024, 11:46 am;DebRodrigo;Not Valid;17/01/2024;07:49:33;17/01/2024;07:52:32;2 minutes 59 seconds;Deploy;00:02:06
11.CSV;fog;2;a45d362abd33;a4:5d:36:2a:bd:33;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;17/01/2024;07:55:01;17/01/2024;07:57:52;2 minutes 51 seconds;Deploy;00:02:04
11.CSV;fog;3;a45d362a91f6;a4:5d:36:2a:91:f6;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;17/01/2024;07:55:03;17/01/2024;07:57:54;2 minutes 51 seconds;Deploy;00:02:06
11.CSV;fog;4;a45d362aad8f;a4:5d:36:2a:ad:8f;Created by FOG Reg on January 11, 2024, 11:18 am;DebRodrigo;Not Valid;17/01/2024;07:54:59;17/01/2024;07:57:53;2 minutes 54 seconds;Deploy;00:02:05
11.CSV;fog;5;a45d362a9db8;a4:5d:36:2a:9d:b8;Created by FOG Reg on January 11, 2024, 11:19 am;DebRodrigo;Not Valid;17/01/2024;07:54:58;17/01/2024;07:57:52;2 minutes 54 seconds;Deploy;00:02:04
